2023/04/05 12:44:38 {"callers":["d:/codes/codes_Go/threads-service/main.go:27 main.init.0"],"level":"info","message":"博客启动成功:开始讨论战舰世界!","time":1680669878621654500}
2023/04/05 12:49:18 {"callers":["d:/codes/codes_Go/threads-service/main.go:27 main.init.0"],"level":"info","message":"博客启动成功:开始讨论战舰世界!","time":1680670158351026900}
2023/04/05 14:10:11 {"callers":["d:/codes/codes_Go/threads-service/main.go:27 main.init.0"],"level":"info","message":"博客启动成功:开始讨论战舰世界!","time":1680675011576107300}
2023/04/05 14:10:29 {"callers":["d:/codes/codes_Go/threads-service/main.go:27 main.init.0"],"level":"error","message":"svc.CreateTag err:Error 1366: Incorrect string value: '\\xC0\\xB3\\xB8\\xEA\\xC2\\xE5' for column 'created_by' at row 1","time":1680675029942203800}
2023/04/05 14:12:21 {"callers":["d:/codes/codes_Go/threads-service/main.go:27 main.init.0"],"level":"error","message":"svc.CreateTag err:Error 1366: Incorrect string value: '\\xC0\\xB3\\xB8\\xEA\\xC2\\xE5' for column 'created_by' at row 1","time":1680675141438779200}
2023/04/05 15:56:12 {"callers":["d:/codes/codes_Go/threads-service/main.go:27 main.init.0"],"level":"info","message":"博客启动成功:开始讨论战舰世界!","time":1680681372064392600}
2023/04/05 15:56:23 {"callers":["d:/codes/codes_Go/threads-service/main.go:27 main.init.0"],"level":"error","message":"app.BindAndValid errs: Name为必填字段'CreatedBy为必填字段","time":1680681383686482400}
2023/04/05 15:57:24 {"callers":["d:/codes/codes_Go/threads-service/main.go:27 main.init.0"],"level":"error","message":"app.BindAndValid errs: Name为必填字段'CreatedBy为必填字段","time":1680681444934293200}
2023/04/05 15:58:44 {"callers":["d:/codes/codes_Go/threads-service/main.go:27 main.init.0"],"level":"error","message":"app.BindAndValid errs: Name为必填字段'CreatedBy为必填字段","time":1680681524027354100}
2023/04/05 16:05:41 {"callers":["d:/codes/codes_Go/threads-service/main.go:27 main.init.0"],"level":"error","message":"app.BindAndValid errs: CreatedBy长度必须至少为3个字符'Name长度必须至少为3个字符","time":1680681941647154900}
2023/04/05 16:28:54 {"callers":["d:/codes/codes_Go/threads-service/main.go:27 main.init.0"],"level":"error","message":"svc.CreateTag err:Error 1366: Incorrect string value: '\\xBD\\xA2\\xCA\\xC0\\xBD\\xE7' for column 'name' at row 1","time":1680683334342415900}
2023/04/05 16:31:35 {"callers":["d:/codes/codes_Go/threads-service/main.go:27 main.init.0"],"level":"error","message":"svc.CreateTag err:Error 1366: Incorrect string value: '\\xC7\\xC8\\xC7\\xC5' for column 'name' at row 1","time":1680683495417609400}
2023/04/05 16:51:24 {"callers":["d:/codes/codes_Go/threads-service/main.go:27 main.init.0"],"level":"info","message":"博客启动成功:开始讨论战舰世界!","time":1680684684993143000}
